name,price,image,category_id,description,gebrochts
Gefilte Fish,18.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/gefilte-fish.jpg,2,"Sweet, traditional & everything it should be.
1 loaf, serves 8",false
Homemade Horseradish,8.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/homemade-horseradish.jpg,2,"Always fresh. Adds a perfect kick!
1 pint, serves 6 to 8",false
Grated Natural Horseradish,12.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/grated-natural-horseradish.jpg,2,"Freshly grated horseradish. We wait until the last possible moment to begin grating, to ensure a product that really packs a punch!
1 pint, serves 6 to 8",false
Vegetable Soup,10.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/vegetable-soup.jpg,3,"Savory broth loaded with chunks of veggies.
1 quart, serves 3",false
Gazpacho Soup,10.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/gazpacho-soup.jpg,3,"A revitalizing cold soup bursting with the fresh flavors of tomatoes, cucumbers, onions & garlic.
1 quart, serves 3",false
Herbed Butternut Soup,13.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/herbed-butternut-soup.jpg,3,"A creamy soup that is both sweet and savory.
1 quart, serves 3",false
Wild Mushroom Soup,11.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/Wild-Mushroom-Soup.jpg,3,"Assorted âshrooms lend this rich savory soup its depth!
1 quart, serves 3",false
Blueberry Mango Fruit Soup,13.50,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/fruitsoup.jpg,3,Deliciously refreshing blend of pureed fruits,false
Cabbage Meat Soup,11.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cabbage-meat-soup.jpg,3,"Tomato based & hearty.
1 quart, serves 3",false
Chicken Soup,13.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chicken-soup.jpg,3,"This one gets raves reviews from east coast to west every time!
1 quart, serves 3",false
Large Matzo Balls,6.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/large-matza-balls.jpg,3,Fluffy & huge! Your grandmother would be proud.,true
Sweet and Sour Meat Balls,14.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/sweet-and-sour-meat-balls.jpg,2,"Perfectly flavored and surrounded by a robust mushroom-tomato sauce.
Each order contain approximately 9 meatballs, and serves 3 adults (as an appetizer).",false
Stuffed Cabbage,6.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/stuffed-cabbage.jpg,2,Deliciously seasoned beef packaged in a subtly sweet sauce and tender cabbage leaves. Individually priced.,false
Curried Fish Balls,18.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/curried-fish-balls.jpg,2,"A South African favorite! A ground whitefish mixture in pungent yet subtle onion-curry sauce.
approx. 9 per order, serves 3",false
