name,price,image,description
Gefilte Fish,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/gefilte-fish.jpg,"Sweet, traditional & everything it should be.
1 loaf, serves 8"
Homemade Horseradish,8,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/homemade-horseradish.jpg,"Always fresh. Adds a perfect kick!
1 pint, serves 6 to 8"
Grated Natural Horseradish,12,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/grated-natural-horseradish.jpg,"Freshly grated horseradish. We wait until the last possible moment to begin grating, to ensure a product that really packs a punch!
1 pint, serves 6 to 8"
Vegetable Soup,10,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/vegetable-soup.jpg,"Savory broth loaded with chunks of veggies.
1 quart, serves 3"
Gazpacho Soup,10,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/gazpacho-soup.jpg,"A revitalizing cold soup bursting with the fresh flavors of tomatoes, cucumbers, onions & garlic.
1 quart, serves 3"
Herbed Butternut Soup,13,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/herbed-butternut-soup.jpg,"A creamy soup that is both sweet and savory.
1 quart, serves 3"
Wild Mushroom Soup,11,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/Wild-Mushroom-Soup.jpg,"Assorted âshrooms lend this rich savory soup its depth!
1 quart, serves 3"
Blueberry Mango Fruit Soup,13.5,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/fruitsoup.jpg,Deliciously refreshing blend of pureed fruits
Cabbage Meat Soup,11,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cabbage-meat-soup.jpg,"Tomato based & hearty.
1 quart, serves 3"
Chicken Soup,13,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chicken-soup.jpg,"This one gets raves reviews from east coast to west every time!
1 quart, serves 3"
Large Matzo Balls,6,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/large-matza-balls.jpg,Fluffy & huge! Your grandmother would be proud.
Sweet and Sour Meat Balls,14,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/sweet-and-sour-meat-balls.jpg,"Perfectly flavored and surrounded by a robust mushroom-tomato sauce.
Each order contain approximately 9 meatballs, and serves 3 adults (as an appetizer)."
Stuffed Cabbage,6,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/stuffed-cabbage.jpg,Deliciously seasoned beef packaged in a subtly sweet sauce and tender cabbage leaves. Individually priced.
Curried Fish Balls,18,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/curried-fish-balls.jpg,"A South African favorite! A ground whitefish mixture in pungent yet subtle onion-curry sauce.
approx. 9 per order, serves 3"
